Instance,BD algorithm runtime (s),
,without Vis,with Vis
K100V25S5seed0,6.921664,4.198915005
K100V25S5seed1,2.292525053,2.709592104
K100V25S5seed2,14.73528433,17.01294065
K100V25S5seed3,2.527195215,1.732684135
K100V25S5seed9,3.121985674,2.211876869
Avg.,5.92,5.57
K100V40S5seed0,3.135595083,2.157540083
K100V40S5seed1,1.423012733,2.744505167
K100V40S5seed2,3.404263258,2.048069239
K100V40S5seed3,2.281648874,1.713706017
K100V40S5seed9,3.075691938,2.734109879
Avg.,2.66,2.28
K100V50S5seed0,2.525490284,2.158537388
K100V50S5seed1,2.117251873,2.744685888
K100V50S5seed2,2.731858015,2.058207989
K100V50S5seed3,2.575577736,1.724038839
K100V50S5seed9,3.675654888,2.713519096
Avg.,2.73,2.28
K200V50S5seed0,5.412242889,4.394407034
K200V50S5seed1,11.26804876,6.70105195
K200V50S5seed2,9.350982904,10.69924808
K200V50S5seed3,3.199662209,3.081516027
K200V50S5seed9,11.94478488,6.905244112
Avg.,8.24,6.36
K200V75S5seed0,2.612248182,2.593001842
K200V75S5seed1,9.12409687,2.689721823
K200V75S5seed2,6.85647893,6.031907082
K200V75S5seed3,3.152719975,3.055279016
K200V75S5seed9,7.124797821,4.223158121
Avg.,5.77,3.72
K200V100S5seed0,4.230165958,2.603131056
K200V100S5seed1,10.0433538,2.687281132
K200V100S5seed2,7.576067924,2.738837004
K200V100S5seed3,4.631829023,3.066110134
K200V100S5seed9,6.617255211,2.962850094
Avg.,6.62,2.81
K300V75S5seed0,1800.133904,120.2014148
K300V75S5seed1,1111.128084,1108.568533
K300V75S5seed2,54.64783096,61.1321609
K300V75S5seed3,5.254933596,3.610831261
K300V75S5seed9,12.33773899,8.971704006
Avg.,596.70,260.50
K300V100S5seed0,17.83954096,9.779041767
K300V100S5seed1,10.10634494,20.8939929
K300V100S5seed2,23.61260605,7.488774061
K300V100S5seed3,7.913515091,3.118647099
K300V100S5seed9,11.34723401,3.585646152
Avg.,14.16,8.97
K300V150S5seed0,26.47591472,2.870357037
K300V150S5seed1,15.15489697,3.618764162
K300V150S5seed2,24.79593611,3.832705021
K300V150S5seed3,7.114590883,3.180855036
K300V150S5seed9,14.53686595,3.701745987
Avg.,17.62,3.44
S=5 Average,73.38,32.88